,#,PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %
191,190,Ghazipur,75,GEN,Uttar Pradesh,Afzal Ansari,Bahujan Samaj Party,1832844.0,1105627.0,60.7,119392.0,10.8
192,191,Ghosi,70,GEN,Uttar Pradesh,Atul Kumar Singh,Bahujan Samaj Party,1945291.0,1140781.0,58.9,122568.0,10.7
193,192,Giridih,6,GEN,Jharkhand,Chandra Prakash Choudhary,All Jharkhand Students Union,1625806.0,1106918.0,69.3,248347.0,22.4
194,193,Godda,3,GEN,Jharkhand,Nishikant Dubey,Bharatiya Janta Party,1683948.0,1194036.0,72.0,184227.0,15.4
195,194,Gonda,59,GEN,Uttar Pradesh,Kirti Vardhan Singh Alias Raja Bhaiya,Bharatiya Janta Party,1744625.0,923816.0,53.4,166360.0,18.0
196,195,Gopalganj,17,SC,Bihar,Dr. Alok Kumar Suman,Janata Dal (United),1832200.0,1024876.0,58.8,286434.0,27.9
197,196,Gorakhpur,64,GEN,Uttar Pradesh,Ravindra Shyamnarayan Shukla Alias Ravi Kishan,Bharatiya Janta Party,1960935.0,1184635.0,60.8,301664.0,25.5
198,197,Gulbarga,5,SC,Karnataka,Dr. Umesh G Jadhav,Bharatiya Janta Party,1920070.0,1189361.0,62.5,95452.0,8.0
199,198,Guna,4,GEN,Madhya Pradesh,"Krishna Pal Singh ""dr. K. P. Yadav""",Bharatiya Janta Party,1631451.0,1178423.0,73.0,125549.0,10.7
200,199,Guntur,13,,Andhra Pradesh,Jayadev Galla,Telugu Desam,1486993.0,1351474.0,91.3,4205.0,0.3
201,200,Gurdaspur,1,GEN,Punjab,Sunny Deol,Bharatiya Janta Party,1535937.0,1103887.0,72.5,82459.0,7.5
202,201,Gurgaon,9,GEN,Haryana,Rao Inderjit Singh,Bharatiya Janta Party,1990711.0,1446509.0,72.9,386256.0,26.7
203,202,Gwalior,3,GEN,Madhya Pradesh,Vivek Narayan Shejwalkar,Bharatiya Janta Party,1938511.0,1196096.0,62.0,146842.0,12.3
204,203,Hajipur,21,SC,Bihar,Pashu Pati Kumar Paras,Lok Jan Shakti Party,1810137.0,1006817.0,57.0,205449.0,20.4
205,204,Hamirpur,3,GEN,Himachal Pradesh,Anurag Singh Thakur,Bharatiya Janta Party,1247699.0,988765.0,79.9,399572.0,40.4
206,205,Hamirpur,47,GEN,Uttar Pradesh,Kunwar Pushpendra Singh Chandel,Bharatiya Janta Party,1715940.0,1089778.0,64.4,248652.0,22.8
207,206,Hardoi,31,SC,Uttar Pradesh,Jai Prakash,Bharatiya Janta Party,1775274.0,1057558.0,60.2,132474.0,12.5
208,207,Hardwar,5,GEN,Uttarakhand,Ramesh Pokhriyal 'nishank',Bharatiya Janta Party,1785889.0,1271030.0,71.5,258729.0,20.4
209,208,Hassan,16,GEN,Karnataka,Prajwal Revanna,Janata Dal (Secular),1630952.0,1277552.0,79.1,141324.0,11.1
210,209,Hathras,16,SC,Uttar Pradesh,Rajvir Diler,Bharatiya Janta Party,1799499.0,1150294.0,64.4,260208.0,22.6
211,210,Hatkanangle,48,GEN,Maharashtra,Dhairyasheel Sambhajirao Mane,Shiv Sena,1693449.0,1252211.0,74.4,96039.0,7.7
212,211,Haveri,10,GEN,Karnataka,Udasi. S.C.,Bharatiya Janta Party,1680025.0,1266679.0,75.8,140882.0,11.1
213,212,Hazaribagh,14,GEN,Jharkhand,Jayant Sinha,Bharatiya Janta Party,1518831.0,1080929.0,71.7,479548.0,44.4
214,213,Hindupur,20,,Andhra Pradesh,Kuruva Gorantla Madhav,Yuvajana Sramika Rythu Congress Party,1434282.0,1338514.0,94.5,140748.0,10.5
215,214,Hingoli,15,GEN,Maharashtra,Hemant Patil,Shiv Sena,1659433.0,1157516.0,70.0,277856.0,24.0
216,215,Hisar,4,GEN,Haryana,Brijendra Singh,Bharatiya Janta Party,1558281.0,1179869.0,75.9,314068.0,26.6
217,216,Hooghly,28,GEN,West Bengal,Locket Chatterjee,Bharatiya Janta Party,1373449.0,1457842.0,107.1,73362.0,5.0
218,217,Hoshangabad,17,GEN,Madhya Pradesh,Uday Pratap Singh,Bharatiya Janta Party,1650087.0,1265869.0,77.8,553682.0,43.7
219,218,Hoshiarpur,5,SC,Punjab,Som Parkash,Bharatiya Janta Party,1548898.0,990791.0,64.8,48530.0,4.9
220,219,Howrah,25,GEN,West Bengal,Prasun Banerjee,All India Trinamool Congress,1796175.0,1222293.0,68.4,103695.0,8.5
221,220,Hyderabad,9,GEN,Telangana,Asaduddin Owaisi,All India Majlis-E-Ittehadul Muslimeen,1927685.0,877872.0,45.8,282186.0,32.1
222,221,Idukki,13,GEN,Kerala,Adv. Dean Kuriakose,Indian National Congress,1160824.0,919297.0,79.7,171053.0,18.6
223,222,Indore,26,GEN,Madhya Pradesh,Shankar Lalwani,Bharatiya Janta Party,2235342.0,1629108.0,73.1,547754.0,33.6
224,223,Inner Manipur,1,GEN,Manipur,Dr Rajkumar Ranjan Singh,Bharatiya Janta Party,855359.0,759301.0,89.1,17755.0,2.3
225,224,Jabalpur,13,GEN,Madhya Pradesh,Rakesh Singh,Bharatiya Janta Party,1767369.0,1263573.0,71.7,454744.0,36.0
226,225,Jadavpur,22,GEN,West Bengal,Mimi Chakraborty,All India Trinamool Congress,1990328.0,1436894.0,73.0,295239.0,20.5
227,226,Jagatsinghpur,16,SC,Orissa,Rajashree Mallick,Biju Janata Dal,1584635.0,1229190.0,78.0,271655.0,22.1
228,227,Jahanabad,36,GEN,Bihar,Chandeshwar Prasad,Janata Dal (United),1573907.0,822065.0,54.0,1751.0,0.2
229,228,Jaipur,7,GEN,Rajasthan,Ramcharan Bohra,Bharatiya Janta Party,2043881.0,1456404.0,71.6,430626.0,29.6
230,229,Jaipur Rural,6,GEN,Rajasthan,Col. Rajyavardhan Rathore,Bharatiya Janta Party,1897332.0,1276693.0,67.8,393171.0,30.8
231,230,Jajpur,8,SC,Orissa,Sarmistha Sethi,Biju Janata Dal,1413322.0,1092084.0,77.8,101693.0,9.3
232,231,Jalandhar,4,SC,Punjab,Santokh Singh Chaudhary,Indian National Congress,1574968.0,1018998.0,65.5,19491.0,1.9
233,232,Jalaun,45,SC,Uttar Pradesh,Bhanu Pratap Singh Verma,Bharatiya Janta Party,1470521.0,1129955.0,77.7,158377.0,14.0
234,233,Jalgaon,3,GEN,Maharashtra,Unmesh Bhaiyyasaheb Patil,Bharatiya Janta Party,1845368.0,1088277.0,59.5,411617.0,37.8
235,234,Jalna,18,GEN,Maharashtra,Danve Raosaheb Dadarao,Bharatiya Janta Party,1765712.0,1208139.0,69.3,332815.0,27.5
236,235,Jalore,18,GEN,Rajasthan,Devaji Patel,Bharatiya Janta Party,1600603.0,1361619.0,86.2,261110.0,19.2
237,236,Jalpaiguri,3,SC,West Bengal,Dr. Jayanta Kumar Roy,Bharatiya Janta Party,1618231.0,1500922.0,94.0,184004.0,12.3
238,237,Jammu,6,,Jammu & Kashmir,Jugal Kishore,Bharatiya Janta Party,1848155.0,1478795.0,80.2,302875.0,20.5
239,238,Jamnagar,12,GEN,Gujarat,Poonamben Hematbhai Maadam,Bharatiya Janta Party,1615693.0,1010965.0,63.1,236804.0,23.4
240,239,Jamshedpur,9,GEN,Jharkhand,Bidyut Baran Mahato,Bharatiya Janta Party,1658549.0,1144226.0,69.3,302090.0,26.4
241,240,Jamui,40,SC,Bihar,Chirag Kumar Paswan,Lok Jan Shakti Party,1709356.0,949137.0,57.8,241049.0,25.4
242,241,Jangipur,9,GEN,West Bengal,Khalilur Rahaman,All India Trinamool Congress,1713293.0,1304504.0,76.8,245782.0,18.8
243,242,Janjgir-Champa,3,SC,Chhattisgarh,Guharam Ajgalley,Bharatiya Janta Party,1850601.0,1247650.0,68.0,83255.0,6.7
244,243,Jaunpur,73,GEN,Uttar Pradesh,Shyam Singh Yadav,Bahujan Samaj Party,1759456.0,1040652.0,59.3,80936.0,7.8
245,244,Jhalawar-Baran,25,GEN,Rajasthan,Dushyant Singh,Bharatiya Janta Party,1863755.0,1369868.0,74.4,453928.0,33.1
246,245,Jhanjharpur,7,GEN,Bihar,Ramprit Mandal,Janata Dal (United),1835089.0,1060562.0,58.3,322951.0,30.5
247,246,Jhansi,46,GEN,Uttar Pradesh,Anurag Sharma,Bharatiya Janta Party,2385972.0,1380890.0,58.6,365683.0,26.5
248,247,Jhargram,33,ST,West Bengal,Kunar Hembram,Bharatiya Janta Party,1522363.0,1406214.0,93.5,11767.0,0.8
249,248,Jhunjhunu,4,GEN,Rajasthan,Narendra Kumar,Bharatiya Janta Party,1869883.0,1198927.0,64.6,302547.0,25.2
250,249,Jodhpur,16,GEN,Rajasthan,Gajendra Singh Shekhawat,Bharatiya Janta Party,1888942.0,1346243.0,71.9,274440.0,20.4
251,250,Jorhat,12,GEN,Assam,Topon Kumar Gogoi,Bharatiya Janta Party,1319952.0,1057965.0,81.1,82653.0,7.8
252,251,Joynagar,19,SC,West Bengal,Pratima Mondal,All India Trinamool Congress,1805964.0,1356102.0,75.7,316775.0,23.4
253,252,Junagadh,13,GEN,Gujarat,Chudasama Rajeshbhai Naranbhai,Bharatiya Janta Party,1576209.0,1005224.0,64.8,150185.0,14.9
254,253,Kachchh,1,SC,Gujarat,Chavda Vinod Lakhamshi,Bharatiya Janta Party,1949895.0,1023198.0,53.4,305513.0,29.9
255,254,Kadapa,21,,Andhra Pradesh,Y.S.Avinash Reddy,Yuvajana Sramika Rythu Congress Party,1325963.0,1228242.0,93.7,380726.0,31.0
256,255,Kairana,2,GEN,Uttar Pradesh,Pradeep Kumar,Bharatiya Janta Party,1599120.0,1124047.0,70.5,92160.0,8.2
257,256,Kaiserganj,57,GEN,Uttar Pradesh,Brijbhusan Sharan Singh,Bharatiya Janta Party,1779143.0,981400.0,55.9,261601.0,26.7
258,257,Kakinada,6,,Andhra Pradesh,Vanga Geethaviswanath,Yuvajana Sramika Rythu Congress Party,1412538.0,1234655.0,88.6,25738.0,2.1
259,258,Kalahandi,11,GEN,Orissa,Basanta Kumar Panda,Bharatiya Janta Party,1563160.0,1228292.0,79.9,26814.0,2.2
260,259,Kaliabor,11,GEN,Assam,Gaurav Gogoi,Indian National Congress,1663513.0,1424687.0,86.6,209994.0,14.7
261,260,Kallakurichi,14,GEN,Tamil Nadu,Gautham Sigamani Pon,Dravida Munetra Kazhagam,1490339.0,1204375.0,81.6,399919.0,33.2
262,261,Kalyan,24,GEN,Maharashtra,Dr. Shrikant Eknath Shinde,Shiv Sena,1861577.0,890313.0,48.5,344343.0,38.7
263,262,Kancheepuram,6,SC,Tamil Nadu,Selvam.G,Dravida Munetra Kazhagam,1601060.0,1237612.0,78.7,286632.0,23.2
264,263,Kandhamal,13,GEN,Orissa,Achyutananda Samanta,Biju Janata Dal,1235291.0,941985.0,77.3,149216.0,15.8
265,264,Kangra,1,GEN,Himachal Pradesh,Kishan Kapoor,Bharatiya Janta Party,1258601.0,1006989.0,80.9,477623.0,47.4
266,265,Kanker,11,ST,Chhattisgarh,Mohan Mandavi,Bharatiya Janta Party,1531469.0,1159193.0,77.4,6914.0,0.6
267,266,Kannauj,42,GEN,Uttar Pradesh,Subrat Pathak,Bharatiya Janta Party,1827515.0,1140496.0,62.9,12353.0,1.1
268,267,Kanniyakumari,39,GEN,Tamil Nadu,Vasanthakumar. H,Indian National Congress,1477243.0,1048377.0,71.4,259933.0,24.8
269,268,Kannur,2,GEN,Kerala,K. Sudhakaran,Indian National Congress,1201236.0,1053842.0,88.1,94559.0,9.0
270,269,Kanpur,43,GEN,Uttar Pradesh,Satyadev Pachauri,Bharatiya Janta Party,1936426.0,842994.0,43.7,155934.0,18.5
271,270,Kanthi,31,GEN,West Bengal,Adhikari Sisir,All India Trinamool Congress,1793513.0,1424247.0,79.9,111668.0,7.8
272,271,Karakat,35,GEN,Bihar,Mahabali Singh,Janata Dal (United),1759358.0,868798.0,50.6,84542.0,9.7
273,272,Karauli-Dholpu,10,SC,Rajasthan,Manoj Rajoria,Bharatiya Janta Party,1782015.0,998044.0,56.4,97682.0,9.8
274,273,Karimnagar,3,GEN,Telangana,Bandi Sanjay Kumar,Bharatiya Janta Party,1544460.0,1147697.0,74.8,89508.0,7.8
275,274,Karnal,5,GEN,Haryana,Sanjay Bhatia,Bharatiya Janta Party,1821231.0,1300722.0,71.7,656142.0,50.4
276,275,Karur,23,GEN,Tamil Nadu,Jothimani S,Indian National Congress,1365804.0,1103165.0,81.5,420546.0,38.1
277,276,Kasaragod,1,GEN,Kerala,Rajmohan Unnithan,Indian National Congress,1305827.0,1100051.0,84.6,40438.0,3.7
278,277,Katihar,11,GEN,Bihar,Dulal Chandra Goswami,Janata Dal (United),1645713.0,1117734.0,69.2,57203.0,5.1
279,278,Kaushambi,50,SC,Uttar Pradesh,Vinod Kumar Sonkar,Bharatiya Janta Party,1743036.0,974438.0,56.8,38722.0,4.0
280,279,Kendrapara,15,GEN,Orissa,Anubhav Mohanty,Biju Janata Dal,1658168.0,1236466.0,75.0,152584.0,12.3
281,280,Keonjhar,4,ST,Orissa,Chandrani Murmu,Biju Janata Dal,1449996.0,1176292.0,82.5,66203.0,5.6
282,281,Khadoor Sahib,3,GEN,Punjab,Jasbir Singh Gill (DIMPA),Indian National Congress,1599081.0,1046032.0,65.7,140573.0,13.4
283,282,Khagaria,25,GEN,Bihar,Choudhary Mehboob Ali Kaiser,Lok Jan Shakti Party,1653928.0,966813.0,58.9,248570.0,25.7
284,283,Khajuraho,8,GEN,Madhya Pradesh,V.D. Sharma (VISHNU DATT SHARMA),Bharatiya Janta Party,1801044.0,1257783.0,70.4,492382.0,39.1
285,284,Khammam,17,GEN,Telangana,Nama Nageswr Rao,Telangana Rashtra Samithi,1441181.0,1139831.0,80.2,168062.0,14.7
286,285,Khandwa,28,GEN,Madhya Pradesh,Nandkumar Singh Chouhan (NANDU BHAIYA),Bharatiya Janta Party,1849606.0,1468138.0,80.2,273343.0,18.6
287,286,Khargone,27,ST,Madhya Pradesh,Gajendra Umrao Singh Patel,Bharatiya Janta Party,1783776.0,1427607.0,81.1,202510.0,14.2
288,287,Kheda,17,GEN,Gujarat,Chauhan Devusinh,Bharatiya Janta Party,1697520.0,1098633.0,65.8,367145.0,33.4
289,288,Kheri,28,GEN,Uttar Pradesh,Ajay Kumar,Bharatiya Janta Party,1729085.0,1136660.0,66.2,218807.0,19.2
290,289,Khunti,11,ST,Jharkhand,Arjun Munda,Bharatiya Janta Party,1165658.0,832377.0,73.2,1445.0,0.2
291,290,Kishanganj,10,GEN,Bihar,Dr. Mohammad Jawed,Indian National Congress,1652940.0,1101603.0,67.8,34466.0,3.1
292,291,Kodarma,5,GEN,Jharkhand,Annpurna Devi,Bharatiya Janta Party,1765156.0,1209541.0,70.3,455600.0,37.7
293,292,Kokrajhar,5,ST,Assam,Naba Kumar Sarania,Independent,1510051.0,1479485.0,99.0,37786.0,2.6
294,293,Kolar,28,SC,Karnataka,S. Muniswamy,Bharatiya Janta Party,1608229.0,1258551.0,79.1,210021.0,16.7
295,294,Kolhapur,47,GEN,Maharashtra,Sanjay Sadashivrao Mandlik,Shiv Sena,1805949.0,1330852.0,74.2,270568.0,20.3
296,295,Kolkata Dakshi,23,GEN,West Bengal,Mala Roy,All India Trinamool Congress,1904710.0,1206645.0,64.1,155192.0,12.9
297,296,Kolkata Uttar,24,GEN,West Bengal,Bandyopadhyay Sudip,All India Trinamool Congress,1618835.0,950613.0,59.1,127095.0,13.4
298,297,Kollam,18,GEN,Kerala,N.K.Premachandran,Revolutionary Socialist Party,1242521.0,968123.0,78.4,148856.0,15.4
299,298,Koppal,8,GEN,Karnataka,Karadi Sanganna Amarappa,Bharatiya Janta Party,1706900.0,1190347.0,70.4,38397.0,3.2
300,299,Koraput,21,ST,Orissa,Saptagiri Sankar Ulaka,Indian National Congress,1385228.0,1080161.0,80.6,3613.0,0.3
301,300,Korba,4,GEN,Chhattisgarh,Jyotsna Charandas Mahant,Indian National Congress,1340544.0,1137003.0,86.3,26349.0,2.3
302,301,Kota,24,GEN,Rajasthan,Om Birla,Bharatiya Janta Party,1900514.0,1367034.0,72.6,279677.0,20.5
303,302,Kottayam,14,GEN,Kerala,Thomas Chazhikadan,Kerala Congress(M),1168104.0,910339.0,78.6,106259.0,11.7
304,303,Kozhikode,5,GEN,Kerala,M.K.Raghavan,Indian National Congress,1245068.0,1076193.0,86.7,85225.0,7.9
305,304,Krishnagiri,9,GEN,Tamil Nadu,Dr.A.Chellakumar,Indian National Congress,1482269.0,1161369.0,79.7,156765.0,13.5
306,305,Krishnanagar,12,GEN,West Bengal,Mahua Moitra,All India Trinamool Congress,1774833.0,1366443.0,77.4,63218.0,4.6
307,306,Kurnool,18,,Andhra Pradesh,Ayushman Doctor Sanjeev Kumar,Yuvajana Sramika Rythu Congress Party,1354509.0,1183035.0,87.9,148903.0,12.6
308,307,Kurukshetra,2,GEN,Haryana,Nayab Singh,Bharatiya Janta Party,1579115.0,1230202.0,78.1,384591.0,31.3
309,308,Kushi Nagar,65,GEN,Uttar Pradesh,Vijay Kumar Dubey,Bharatiya Janta Party,1734356.0,1053117.0,61.2,337560.0,32.1
310,309,Ladakh,4,,Jammu & Kashmir,Jamyang Tsering Namgyal,Bharatiya Janta Party,166763.0,126426.0,76.4,10930.0,8.6
311,310,Lakhimpur,14,GEN,Assam,Pradan Baruah,Bharatiya Janta Party,1621466.0,1283589.0,80.1,350551.0,27.3
312,311,Lakshadweep,1,,Lakshadweep,Mohammed Faizal Pp,Nationalist Congress Party,49922.0,47009.0,94.4,823.0,1.8
313,312,Lalganj,68,SC,Uttar Pradesh,Sangeeta Azad,Bahujan Samaj Party,1733044.0,960568.0,55.7,161597.0,16.8
314,313,Latur,41,SC,Maharashtra,Sudhakar Tukaram Shrangare,Bharatiya Janta Party,1802702.0,1176542.0,65.6,289111.0,24.6
315,314,Lohardaga,12,ST,Jharkhand,Sudarshan Bhagat,Bharatiya Janta Party,1187646.0,817550.0,69.8,10363.0,1.3
316,315,Lucknow,35,GEN,Uttar Pradesh,Rajnath Singh,Bharatiya Janta Party,1939448.0,1116445.0,58.0,347302.0,31.1
317,316,Ludhiana,7,GEN,Punjab,Ravneet Singh Bittu,Indian National Congress,1641976.0,1046955.0,64.4,76372.0,7.3
318,317,Machhlishahr,74,SC,Uttar Pradesh,Bholanath (B.P. Saroj),Bharatiya Janta Party,1777073.0,1034925.0,58.9,181.0,0.0
319,318,Machilipatnam,11,,Andhra Pradesh,Balashowry Vallabhaneni,Yuvajana Sramika Rythu Congress Party,1296361.0,1244570.0,97.1,60238.0,4.8
320,319,Madha,43,GEN,Maharashtra,Ranjeetsinha Hindurao Naik- Nimbalkar,Bharatiya Janta Party,1825200.0,1216319.0,66.8,85764.0,7.1
321,320,Madhepura,13,GEN,Bihar,Dinesh Chandra Yadav,Janata Dal (United),1874003.0,1147274.0,63.3,301527.0,26.3
322,321,Madhubani,6,GEN,Bihar,Ashok Kumar Yadav,Bharatiya Janta Party,1780846.0,963708.0,54.4,454940.0,47.2
323,322,Madurai,32,GEN,Tamil Nadu,Venkatesan S,Communist Party Of India (Marxist),1521452.0,1016026.0,67.8,139395.0,13.7
324,323,Mahabubabad,16,ST,Telangana,Kavitha Malothu,Telangana Rashtra Samithi,1336286.0,983535.0,74.7,146663.0,14.9
325,324,Maharajganj,63,GEN,Uttar Pradesh,Pankaj Choudhary,Bharatiya Janta Party,1866715.0,1226916.0,66.3,340424.0,27.7
326,325,Maharajganj,19,GEN,Bihar,"Janardan Singh 'sigriwal""",Bharatiya Janta Party,1793406.0,972703.0,55.5,230772.0,23.7
327,326,Mahasamund,9,GEN,Chhattisgarh,Chunni Lal Sahu,Bharatiya Janta Party,1613418.0,1222335.0,77.1,90511.0,7.4
328,327,Mahbubnagar,11,GEN,Telangana,Manne Srinivas Reddy,Telangana Rashtra Samithi,1417629.0,984634.0,70.2,77829.0,7.9
329,328,Mahesana,4,GEN,Gujarat,Shardaben Anilbhai Patel,Bharatiya Janta Party,1607923.0,1081938.0,68.0,281519.0,26.0
330,329,Mainpuri,21,GEN,Uttar Pradesh,Mulayam Singh Yadav,Samajwadi Party,1681508.0,976518.0,58.5,94389.0,9.7
331,330,Malappuram,6,GEN,Kerala,P.K. Kunhalikutty,Indian Union Muslim League,1306617.0,1034618.0,79.5,260153.0,25.1
332,331,Maldaha Dakshi,8,GEN,West Bengal,Abu Hasem Khan Chowdhury (DALU),Indian National Congress,1461017.0,1279202.0,88.4,8222.0,0.6
333,332,Maldaha Uttar,7,GEN,West Bengal,Khagen Murmu,Bharatiya Janta Party,1569035.0,1354706.0,86.9,84288.0,6.2
334,333,Malkajgiri,7,GEN,Telangana,Anumula Revanth Reddy,Indian National Congress,2958564.0,1563063.0,53.4,10919.0,0.7
335,334,Mandi,2,GEN,Himachal Pradesh,Ram Swaroop Sharma,Bharatiya Janta Party,1150408.0,941371.0,82.3,405459.0,43.1
336,335,Mandla,14,ST,Madhya Pradesh,Faggan Singh Kulaste,Bharatiya Janta Party,1901547.0,1517255.0,81.5,97674.0,6.4
337,336,Mandsour,23,GEN,Madhya Pradesh,Sudheer Gupta,Bharatiya Janta Party,1714857.0,1370667.0,80.5,376734.0,27.5
338,337,Mandya,20,GEN,Karnataka,Sumalatha Ambareesh,Independent,1684216.0,1379210.0,82.1,125876.0,9.1
339,338,Mangaldoi,8,GEN,Assam,Dilip Saikia,Bharatiya Janta Party,1723812.0,1506107.0,88.4,138545.0,9.2
340,339,Mathura,17,GEN,Uttar Pradesh,Hema Malini,Bharatiya Janta Party,1748275.0,1102731.0,63.4,293471.0,26.6
341,340,Mathurapur,20,SC,West Bengal,Choudhury Mohan Jatua,All India Trinamool Congress,1810407.0,1401953.0,77.8,203974.0,14.5
342,341,Maval,33,GEN,Maharashtra,Shrirang Appa Chandu Barne,Shiv Sena,2175681.0,1368872.0,63.6,215913.0,15.8
343,342,Mavelikkara,16,SC,Kerala,Kodikunnil Suresh,Indian National Congress,1264914.0,971035.0,77.2,61138.0,6.3
344,343,Mayiladuthurai,28,GEN,Tamil Nadu,Ramalingam. S,Dravida Munetra Kazhagam,1466813.0,1097243.0,75.4,261314.0,23.8
345,344,Mayurbhanj,5,ST,Orissa,Bishweswar Tudu,Bharatiya Janta Party,1437970.0,1150357.0,81.5,25256.0,2.2
346,345,Medak,6,GEN,Telangana,Kotha Prabhakar Reddy,Telangana Rashtra Samithi,1514728.0,1150223.0,77.0,316427.0,27.5
347,346,Medinipur,34,GEN,West Bengal,Dilip Ghosh,Bharatiya Janta Party,1815330.0,1409815.0,78.5,88952.0,6.3
348,347,Meerut,10,GEN,Uttar Pradesh,Rajendra Agarwal,Bharatiya Janta Party,1817780.0,1216413.0,67.3,4729.0,0.4
349,348,Mirzapur,79,GEN,Uttar Pradesh,Anupriya Singh Patel,Apna Dal (Soneylal),1805890.0,1108965.0,62.3,232008.0,20.9
350,349,Misrikh,32,SC,Uttar Pradesh,Ashok Kumar Rawat,Bharatiya Janta Party,1762049.0,1026668.0,58.8,100672.0,9.8
351,350,Mizoram,1,ST,Mizoram,C Lalrosanga,Mizo National Front,725057.0,499621.0,69.3,8140.0,1.6
352,351,Mohanlalganj,34,SC,Uttar Pradesh,Kaushal Kishore,Bharatiya Janta Party,1915170.0,1269040.0,66.8,90229.0,7.1
353,352,Moradabad,6,GEN,Uttar Pradesh,Dr. S.T. Hasan,Samajwadi Party,1886615.0,1282206.0,68.3,97878.0,7.6
354,353,Morena,1,GEN,Madhya Pradesh,Narendra Singh Tomar,Bharatiya Janta Party,1739025.0,1137290.0,65.5,113341.0,10.0
355,354,Mumbai North,26,GEN,Maharashtra,Gopal Shetty,Bharatiya Janta Party,1563706.0,989759.0,64.1,465247.0,47.0
356,355,Mumbai North Central,29,GEN,Maharashtra,Poonam Mahajan,Bharatiya Janta Party,1610246.0,901784.0,56.7,130005.0,14.4
357,356,Mumbai North East,28,GEN,Maharashtra,Manoj Kotak,Bharatiya Janta Party,1527514.0,908993.0,60.3,226486.0,24.9
358,357,Mumbai North West,27,GEN,Maharashtra,Gajanan Kirtikar,Shiv Sena,1908991.0,941497.0,50.3,260328.0,27.7
359,358,Mumbai South,31,GEN,Maharashtra,Arvind Ganpat Sawant,Shiv Sena,1537955.0,801611.0,53.1,100067.0,12.5
360,359,Mumbai South Central,30,GEN,Maharashtra,Rahul Ramesh Shewale,Shiv Sena,1388390.0,797250.0,58.4,152139.0,19.1
361,360,Munger,28,GEN,Bihar,Rajiv Ranjan Singh Alias Lalan Singh,Janata Dal (United),1870993.0,1036268.0,55.9,167937.0,16.2
362,361,Murshidabad,11,GEN,West Bengal,Abu Taher Khan,All India Trinamool Congress,1824697.0,1453755.0,80.5,226417.0,15.6
363,362,Muzaffarnagar,3,GEN,Uttar Pradesh,Sanjeev Kumar Balyan,Bharatiya Janta Party,1647368.0,1160071.0,70.7,6526.0,0.6
364,363,Muzaffarpur,15,GEN,Bihar,Ajay Nishad,Bharatiya Janta Party,1710868.0,1058086.0,62.4,409988.0,38.7
365,364,Mysore,21,GEN,Karnataka,Prathap Simha,Bharatiya Janta Party,1873063.0,1318041.0,70.7,138647.0,10.5
366,365,Nabarangpur,12,ST,Orissa,Ramesh Chandra Majhi,Biju Janata Dal,1401704.0,1159700.0,85.9,41634.0,3.6
367,366,Nagaland,1,ST,Nagaland,Tokheho Yepthomi,Nationalist Democratic Progressive Party,1190285.0,1006357.0,84.7,16344.0,1.6
368,367,Nagapattinam,29,SC,Tamil Nadu,Selvaraj M,Communist Party Of India,1292695.0,1002208.0,78.3,211353.0,21.1
369,368,Nagarkurnool,12,SC,Telangana,Pothuganti Ramulu,Telangana Rashtra Samithi,1501178.0,989847.0,66.8,189748.0,19.2
370,369,Nagaur,14,GEN,Rajasthan,Hanuman Beniwal,Rashtriya Loktantrik Party,1741967.0,1203124.0,69.8,181260.0,15.1
371,370,Nagina,5,SC,Uttar Pradesh,Girish Chandra,Bahujan Samaj Party,1538579.0,1009456.0,66.0,166832.0,16.5
372,371,Nagpur,10,GEN,Maharashtra,Nitin Jairam Gadkari,Bharatiya Janta Party,2060047.0,1186051.0,57.8,216009.0,18.2
373,372,Nainital-Udham,4,GEN,Uttarakhand,Ajay Bhatt,Bharatiya Janta Party,1754749.0,1258570.0,72.3,339096.0,26.9
374,373,Nalanda,29,GEN,Bihar,Kaushlendra Kumar,Janata Dal (United),1809760.0,1031286.0,57.5,256137.0,24.8
375,374,Nalgonda,13,GEN,Telangana,Uttam Kumar Reddy Nalamada,Indian National Congress,1501209.0,1175703.0,78.7,25682.0,2.2
376,375,Namakkal,16,GEN,Tamil Nadu,Chinraj A.K.P,Dravida Munetra Kazhagam,1383282.0,1133774.0,83.1,265151.0,23.4
377,376,Nanded,16,GEN,Maharashtra,Prataprao Patil Chikhalikar,Bharatiya Janta Party,1632971.0,1129350.0,69.5,40148.0,3.6
378,377,Nandurbar,1,ST,Maharashtra,Dr. Heena Vijaykumar Gavit,Bharatiya Janta Party,1796321.0,1281738.0,72.6,95629.0,7.5
379,378,Nandyal,17,,Andhra Pradesh,Pocha . Brahmananda Reddy,Yuvajana Sramika Rythu Congress Party,1402585.0,1299093.0,93.3,250119.0,19.3
380,379,Narasaraopet,14,,Andhra Pradesh,Lavu Sri Krishna Devarayalu,Yuvajana Sramika Rythu Congress Party,1545916.0,1437420.0,93.8,154002.0,10.7
381,380,Narsapuram,9,,Andhra Pradesh,Kanumuru Raghu Rama Krishna Raju,Yuvajana Sramika Rythu Congress Party,1294966.0,1177738.0,91.9,32676.0,2.8
382,381,Nashik,21,GEN,Maharashtra,Godse Hemant Tukaram,Shiv Sena,1764151.0,1121232.0,64.0,292204.0,26.1
